Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Russia wants to be a country independent of the unreliable financial system of the West. She just asks to pay in rubles for gas. All other terms of the contracts are strictly observed. What is the problem? Poland and Bulgaria just don't need gas.,UgwjSpdkxi42TcrBXuV4AaABAg,10,7
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,This is Russia's own form of sanctioning other countries.😂,UgzsXw3Vf6NSFooLayJ4AaABAg,1,3
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,It is time for countries to stop relying on fossil fuel dependency considering that the planet is warming every second of everyday and night. The current conflict in Ukraine is also increasing planet warming due to toxic gases and other environmental pollutants being emitted.,UgxgMgB7DUJdwqNw9Nd4AaABAg,14,5
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"*Everyone who reads this, we don't know each other and probably never will but I wish you all the best in life and all the luck in the world*  🗣️🗣",UgwbhE2uffcpzNx59AN4AaABAg,0,4
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Nice, that I learn that my coutnry, Poland is being cut off from Gas from BBC news on youtube haha.
Literally no one is talking about that here",Ugw1RrFL11IAeSGzK5h4AaABAg,38,23
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"That is not a escalation its business, I wouldn't want paid in monopoly money for a product I sold.
why get paid in a form you cant use and will be seized from you?",UgwDFeQaTJ0o3pZ8vC94AaABAg,3,28
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Well done Poland! I am really proud of Poland lately. They behave in really reasonable yet strong way towards russia,UgwdbkhTEfdAUm5tVe54AaABAg,81,74
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,If the UK really wants to support Ukraine like they are saying then can they please start approving visas for people who are fleeing. My father in law has been waiting for over a month for a visa to come here to the UK.,UgzhmC9YmsuydBT2iFl4AaABAg,20,21
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Bulgaria has an lng terminal that has the capacity to convert 6 times as much gas as they actually use so they have just become a net exporter to the Europe. They got 77% of the gas needs from Russia because it was easy not because they needed to.,Ugz5nC7WJ93R0ZGFIbF4AaABAg,17,37
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"*The whole truth about the coronavirus. Watch the video you will be shocked* EVERYDAYS.ML
Let's take the moment to appreciate how much effort he puts into the content for us  ♥",Ugz5b4YSqBUVNBYu_1F4AaABAg,0,48
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"""Russia is using gas as a political and economic weapon "" -well,  the EU has been using sanctions as a political and economic weapon. 😛",UgxjNaskUVV-sOQQDpR4AaABAg,49,88
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"❤I love this video at large but I will advice everybody who is into crypto to stick with ETH and BTC as much as you can guys.If everyone sells when it starts to fall, which at one point it will, the dream maybe lost because of it being too volatile for companies to get behind.",UgzbQTs5LHAtsxc2oqh4AaABAg,14,9
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Maybe Russia can't deliver gas to Poland and Bulgaria instead of won't deliver.,UgzrD0ouKJoJc3QEbh14AaABAg,0,1
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,😅🤣In a year we will not buy even 1 m3. The contract is ending and we will not extend it. We buy gas from Qatar and other sites. Russia is fun 🤣,Ugz8n3x9FQeMBwD-bLN4AaABAg,18,23
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"What do you expect Russia to do? Poland is arming Ukraine against Russia yet they expect oil from them?🤔🤔
It's gonna be hard.",Ugy0toW5W9hwMuFPh7B4AaABAg,3,12
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,POLAND 👊👊👊💖,Ugz9KOOIDcVcjcdl4CV4AaABAg,1,13
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"EU to Russia: we're at war!
Also EU to Russia: Honor your contract 
WTF do you expect",Ugwcz7Vd1VetH5BLN714AaABAg,15,17
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,China refused to let England pay for tea in opium. How did England respond?,UgyZXgKso5kk74wu_up4AaABAg,0,0
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,That's going to hurt especially what with spring and summer here,Ugxc_alqLkLZvuZ51rR4AaABAg,3,10
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Im really curious what diversify gas supply means. Someone explain who is the alternative for gas supply.,Ugxrk6ML26_v9Kfe9Cx4AaABAg,6,4
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,It never ends well when you pick a fight with the very guy who is keeping you alive via assisted ventilation.,UgzyfvH3KQBPFnKK_nN4AaABAg,1,1
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"""They both insist that they will be able to COPE"" - ha! They will cope alright.",UgxaGmwhiAtyX-bp01V4AaABAg,1,1
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,It's exactly right...would you carry on giving your friends money 💰 if they give another friend knives to stab you in the back No you would not.,UgyZGZ9R7tY74yiayht4AaABAg,0,9
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,If your not going to pay for the gas from Russia you cant say its blackmail when they turn off the supply. You dont want the damned gas anyway so whats the problem.,Ugzn0Z8RpJLz-QRBPT54AaABAg,2,9
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Ofcourse that's their gas, it's criminal to not pay them for their gas.",UgzOg4LCpAUjBnDJ-qB4AaABAg,4,12
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,POLAND ‼️🙏👏❤️❤️❤️‼️💪🗣️,Ugwt4s8b75LPBh7CYFt4AaABAg,1,6
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,To late now. It might continues to the rest countries.,UgxmXSUpK2bThVsJmCB4AaABAg,0,0
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Let’s hope this creates a push for sustainable energy.,UgxMDvqrFci5Es-unzF4AaABAg,0,4
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,They knew better than to rely on Russian gas and oil,UgxEw9R6VtA3wVC6Yid4AaABAg,0,1
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,the coming winter 2023 will show who will win in this situation…,UgxhdfuG14nGxu1Ahct4AaABAg,1,5
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Poland, request gas from UAE and SA.
Good morning
Physically help UKRAINE!
Ukraine tries to save entire world.
Ukraine is asking for a fighter jets..  ok if without pilots. Ukraine is trying to save entire world.
7000 forbidden missiles rockets rusia dumped on civilians in Europe.
Physically help Ukraine today",UgxH_Fxeuk91TLPO9oh4AaABAg,0,0
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Blackmail? Of course he [Putin] does. What else would EU (or anyone else) expects, truthfully? That's what Putin does, that's all he's ALWAYS done.",UgxQy_LCWCP1XEStmx14AaABAg,4,4
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Let’s hope Russian missiles don’t hit the remaining gas lines to the west.
What a shame. No more cash flow.",Ugzfyjnnemf4RuFop7d4AaABAg,2,2
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,In a further escalation?  What are you talking about?  Poland and Bulgaria are 2 countries who have declared economic war on russia.  Russia has responded by insisting hostile states pay in rubels.  They refused and now they dont get oil or gas out charity.  That is not an escalation but a direct consequence.,UgwJat39IXCerXnpant4AaABAg,1,5
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Could the British Kingdom possibly supply some oil and gas to Europe? It would require voluntary cut backs on fuel and gas use this spring and summer. A rallying point and a visible way to help. German tanks moving into Ukraine. I would prefer the whole war simply end now.,UgyL_L5Z2PXUtlBBdLt4AaABAg,1,1
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"The thing is, while the Ukrainian army will be re-supplied, the Russian army will never ran out of soldiers",UgxP5Ilvv6jak_0LRRZ4AaABAg,2,5
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,France halted goods over 350 euros or something like that two months ago. It shows you the imbalance in this story is clearly in favor of Russia,Ugx-dzm0tfVLkFMdQM94AaABAg,0,0
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Perhaps Bulgaria can unilaterally declare a new price of natural gas in roubles.,Ugxx2Oc2NqUAAt3tSxx4AaABAg,0,0
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"We have the expression in Greek ""you can't feed the dog and have the whole pie"" defines that can't do the impossible 
Russia wants to diverse the sanctions. The top gun for sanctions is the US dollar. So everyone wants oil or gas will exchance the dollars or the euros in a Russian bank to rubles and they will use them to pay. 
So Russia will take the euros and dollars and will avoid sanctions. If it works would be a huge victory for Russia. Would have the dog feed and the whole pie. Someone might ask why Iran didn't do it but Russia has something Europe needs the natural gas.",UgwlVOL9-85Y9B_Gim94AaABAg,1,8
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,did the Polish prime minister give his interview in front of the Brandenburg gate in Berlin?,UgzEr_Fz_OPyhoVUgzp4AaABAg,0,0
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Poland wakes up now? This is a joke in the making.,UgxoK_jUS6d13LpLpAJ4AaABAg,0,5
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Gas and Electric prices have up massively.,UgxGmLOoouNrKZgQYaR4AaABAg,1,1
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Today I love Russia Russia is doing right thing,UgwNv0-QyKltw7ZfLxt4AaABAg,1,1
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"By the way-this guy 2:25min studied history, but instead of being teacher in primary school he is Prime Minister of Poland. lol",UgzumX4G-mpgr6SMdOl4AaABAg,0,1
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Turn it off please asap.. 👍
It smells of murder 🤮",UgxFwwJdFC0F9kxOb_B4AaABAg,2,5
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"""we need global control of Russia's nuclear facilities"".... bruh, cool your jets there, little dwarf. This little guy got some balls on him.",Ugycvxl4E-wn0wV18Tl4AaABAg,1,1
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Who Know Brother England And  U.S.A Losed on this war on Russia Or no I think yes and you?,UgzG1V7felyiBpbbN454AaABAg,0,0
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Lecturing India for purchasing russia oil not its blackmail from Russia for stopping oil. Western hipocracy,Ugwdy6TXH45gkpKxsZF4AaABAg,0,0
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"It's just a matter of few months European countries will have sufficient Gas (LNG) that will be supplied by Nigerian government. Nigeria is expecting European Union to come and help them to develop their gas facilities.
W.B.A",Ugxe76DMGbE4wAsYZKR4AaABAg,0,0
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,God Bless Vladimir Putin and Russia,Ugx0JY5ATPexnIno5PN4AaABAg,0,1
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Be careful when reading the comments, because there are a lot of trolls.",UgzrFMkbgK8DI2KlLS14AaABAg,1,5
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Nex time it will be usefull to think before following  other countrys thats nathing have do with this war,Ugx8I9u8CbjAZSWjoAJ4AaABAg,0,1
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Let hell freeze over before paying in Rubles. Power to Poland and all of Europe.,UgzQaHLIvJt-B-swdcR4AaABAg,13,18
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"*Poland:* Norway has plenty. We are going to buy from Norway.

*Bulgaria:* I am going to buy from Greece.

*Russia:* Well, I know Norway and Greece also have gas, but how much will you pay? Ours is very cheap. Remember politicians won't suffer. Those who suffer are daily folks and industries. If your factories can't cope with the cost, they will shut down. If factories closed, more jobs will disappear. Hence, your citizens will suffer. Not just the problem of heating house during winter... Remember it's already hard enough to live and run companies due to pandemic... Imagine this the increase of gas price added, your industries will collapse.

*Many industries use heat as part of production, and the source of heat came from burning gas..*

*Russia can always sell it's gas to Asia, especially China and India are ready for cheap gas. And not to mention Latin Americas, Africa nations, South Asia, East Asia and ASEAN never sanction Russia and remain neutral.*

*There's already pipeline between Russia and China called ""The Power Siberia 1"". In February this year, Russia and China already agreed a 30 years contract of gas supply. Second pipeline to Asia is being built called ""The Power of Siberia 2"". Not to mention, there's also a pipeline between Russia and Turkey. For information, Turkey although part of EU, didn't sanction Russia.""*",UgzgeWsuzvoAX0Httst4AaABAg,9,10
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"As a Pole, I will write that there is no reason to panic . Poland has been expecting it for years and preparing for it . Poland is not a Russian province like, for example, Germany and Hungary   . Poland has built a gas port, a gas pipeline with Norway, a connection with the Lithuanian gas port, increased its gas production, expanded storage facilities, and built new gas compressor stations. At the end of this year, the Polish contract for the purchase of gas in Russia expired and it was not planned to sign a new one . The fact that Putin broke the contract earlier is good for Poland, because it will be able to receive billions of dollars in compensation from Russia . Poland has already won in court and received 1.5 billion dollars in compensation from Russia, which was paid by Gazprom in 2020 . A Polish woman used this money well, buying modern weapons in the USA with it in order to repel the possible aggression of fascist Russian troops . Probably people know that Putin built a special church in Moscow in which the main relic to which he prays is the Hitler's hat taken from his bunker in Berlin in 1945 by Russians",UgyC5jnjE99w4WfSy8R4AaABAg,5,9
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,If I didn't pre-pay my utilities it is also cut off by the authorities. So do you expect free GAS?,Ugxmh1qiGgXSZBxvrB14AaABAg,0,1
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"If you don't pay for your gas you get cut off, if I don't pay I get cut off, that's capitalism for you🤔🤔",UgyhprjQbg9p1j-jQ3N4AaABAg,2,11
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,You countries also still want to rely on China too and keep making the same mistake or learn.,UgyTABcRG6fwgQ4_c7N4AaABAg,1,1
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Russian economy stabilises
US/EU economy faces massive contraction.

Just 2 months into the war, the roubles appreciated higher 
than it was 2 years ago, 
inflation in Russia is checked and food supplies are okay. 

The same can't be said of Europe/US, 
their economy is battling challenges 
and it'll likely be worse in autumn/winter 
when demand for energy climb and prices go up further. 

At this moment, Putin is winning, 
the collective West is losing 
even as they struggle to put up an integrated front.

Russian economy now is less dependent on imports on products 
and financial influence from Europe 
and this is key reason on why sanctions don't work
but the West still doesn't get it. 

Russia has more than enough raw materials to manufacture 
and exports raw materials in the form of energy 
and other materials to the rest of the world 
so other countries can use them for their manufacturing industries. 

This why the EU don't want to embargo oil or gas from Russia, 
and why the US begs Venezuela for oil, wheat, etc.",Ugxol9cMbO34EJKMld54AaABAg,0,0
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Germany you not making this easy just leave go where you make sense go to the mountains go to woods
maybe pick up an axe usually medieval Germany is extremely violent not to other people but to Germany",UgyXRiODT2hKEtWdJf94AaABAg,0,0
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Five stages of grief:  1.denial...2.anger....3.bargaining.....4.depression......5.Paying in rubles,UgyC0DKZK0h-K38gmMR4AaABAg,33,114
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,They have  the  right to  get paid  how they want.,UgwGa_41YB_9CzjII-54AaABAg,1,1
