Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,clean_comments,language
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"*Everyone who reads this, we don't know each other and probably never will but I wish you all the best in life and all the luck in the world*  🗣️🗣",UgwbhE2uffcpzNx59AN4AaABAg,0,4,"*Everyone who reads this, we don't know each other and probably never will but I wish you all the best in life and all the luck in the world*  ",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Nice, that I learn that my coutnry, Poland is being cut off from Gas from BBC news on youtube haha.
Literally no one is talking about that here",Ugw1RrFL11IAeSGzK5h4AaABAg,38,23,"Nice, that I learn that my coutnry, Poland is being cut off from Gas from BBC news on youtube haha.
Literally no one is talking about that here",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"That is not a escalation its business, I wouldn't want paid in monopoly money for a product I sold.
why get paid in a form you cant use and will be seized from you?",UgwDFeQaTJ0o3pZ8vC94AaABAg,3,28,"That is not a escalation its business, I wouldn't want paid in monopoly money for a product I sold.
why get paid in a form you cant use and will be seized from you?",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Well done Poland! I am really proud of Poland lately. They behave in really reasonable yet strong way towards russia,UgwdbkhTEfdAUm5tVe54AaABAg,81,74,Well done Poland! I am really proud of Poland lately. They behave in really reasonable yet strong way towards russia,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,If the UK really wants to support Ukraine like they are saying then can they please start approving visas for people who are fleeing. My father in law has been waiting for over a month for a visa to come here to the UK.,UgzhmC9YmsuydBT2iFl4AaABAg,20,21,If the UK really wants to support Ukraine like they are saying then can they please start approving visas for people who are fleeing. My father in law has been waiting for over a month for a visa to come here to the UK.,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Bulgaria has an lng terminal that has the capacity to convert 6 times as much gas as they actually use so they have just become a net exporter to the Europe. They got 77% of the gas needs from Russia because it was easy not because they needed to.,Ugz5nC7WJ93R0ZGFIbF4AaABAg,17,37,Bulgaria has an lng terminal that has the capacity to convert 6 times as much gas as they actually use so they have just become a net exporter to the Europe. They got 77% of the gas needs from Russia because it was easy not because they needed to.,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"*The whole truth about the coronavirus. Watch the video you will be shocked* EVERYDAYS.ML
Let's take the moment to appreciate how much effort he puts into the content for us  ♥",Ugz5b4YSqBUVNBYu_1F4AaABAg,0,48,"*The whole truth about the coronavirus. Watch the video you will be shocked* EVERYDAYS.ML
Let's take the moment to appreciate how much effort he puts into the content for us  ",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"""Russia is using gas as a political and economic weapon "" -well,  the EU has been using sanctions as a political and economic weapon. 😛",UgxjNaskUVV-sOQQDpR4AaABAg,49,88,"""Russia is using gas as a political and economic weapon "" -well,  the EU has been using sanctions as a political and economic weapon. ",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"❤I love this video at large but I will advice everybody who is into crypto to stick with ETH and BTC as much as you can guys.If everyone sells when it starts to fall, which at one point it will, the dream maybe lost because of it being too volatile for companies to get behind.",UgzbQTs5LHAtsxc2oqh4AaABAg,14,9,"I love this video at large but I will advice everybody who is into crypto to stick with ETH and BTC as much as you can guys.If everyone sells when it starts to fall, which at one point it will, the dream maybe lost because of it being too volatile for companies to get behind.",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Maybe Russia can't deliver gas to Poland and Bulgaria instead of won't deliver.,UgzrD0ouKJoJc3QEbh14AaABAg,0,1,Maybe Russia can't deliver gas to Poland and Bulgaria instead of won't deliver.,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,😅🤣In a year we will not buy even 1 m3. The contract is ending and we will not extend it. We buy gas from Qatar and other sites. Russia is fun 🤣,Ugz8n3x9FQeMBwD-bLN4AaABAg,18,23,In a year we will not buy even 1 m3. The contract is ending and we will not extend it. We buy gas from Qatar and other sites. Russia is fun ,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"What do you expect Russia to do? Poland is arming Ukraine against Russia yet they expect oil from them?🤔🤔
It's gonna be hard.",Ugy0toW5W9hwMuFPh7B4AaABAg,3,12,"What do you expect Russia to do? Poland is arming Ukraine against Russia yet they expect oil from them?
It's gonna be hard.",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"EU to Russia: we're at war!
Also EU to Russia: Honor your contract 
WTF do you expect",Ugwcz7Vd1VetH5BLN714AaABAg,15,17,"EU to Russia: we're at war!
Also EU to Russia: Honor your contract 
WTF do you expect",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,China refused to let England pay for tea in opium. How did England respond?,UgyZXgKso5kk74wu_up4AaABAg,0,0,China refused to let England pay for tea in opium. How did England respond?,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,That's going to hurt especially what with spring and summer here,Ugxc_alqLkLZvuZ51rR4AaABAg,3,10,That's going to hurt especially what with spring and summer here,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Im really curious what diversify gas supply means. Someone explain who is the alternative for gas supply.,Ugxrk6ML26_v9Kfe9Cx4AaABAg,6,4,Im really curious what diversify gas supply means. Someone explain who is the alternative for gas supply.,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,It never ends well when you pick a fight with the very guy who is keeping you alive via assisted ventilation.,UgzyfvH3KQBPFnKK_nN4AaABAg,1,1,It never ends well when you pick a fight with the very guy who is keeping you alive via assisted ventilation.,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"""They both insist that they will be able to COPE"" - ha! They will cope alright.",UgxaGmwhiAtyX-bp01V4AaABAg,1,1,"""They both insist that they will be able to COPE"" - ha! They will cope alright.",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,It's exactly right...would you carry on giving your friends money 💰 if they give another friend knives to stab you in the back No you would not.,UgyZGZ9R7tY74yiayht4AaABAg,0,9,It's exactly right...would you carry on giving your friends money  if they give another friend knives to stab you in the back No you would not.,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,If your not going to pay for the gas from Russia you cant say its blackmail when they turn off the supply. You dont want the damned gas anyway so whats the problem.,Ugzn0Z8RpJLz-QRBPT54AaABAg,2,9,If your not going to pay for the gas from Russia you cant say its blackmail when they turn off the supply. You dont want the damned gas anyway so whats the problem.,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Ofcourse that's their gas, it's criminal to not pay them for their gas.",UgzOg4LCpAUjBnDJ-qB4AaABAg,4,12,"Ofcourse that's their gas, it's criminal to not pay them for their gas.",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,To late now. It might continues to the rest countries.,UgxmXSUpK2bThVsJmCB4AaABAg,0,0,To late now. It might continues to the rest countries.,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Let’s hope this creates a push for sustainable energy.,UgxMDvqrFci5Es-unzF4AaABAg,0,4,Let’s hope this creates a push for sustainable energy.,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,They knew better than to rely on Russian gas and oil,UgxEw9R6VtA3wVC6Yid4AaABAg,0,1,They knew better than to rely on Russian gas and oil,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,the coming winter 2023 will show who will win in this situation…,UgxhdfuG14nGxu1Ahct4AaABAg,1,5,the coming winter 2023 will show who will win in this situation…,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Poland, request gas from UAE and SA.
Good morning
Physically help UKRAINE!
Ukraine tries to save entire world.
Ukraine is asking for a fighter jets..  ok if without pilots. Ukraine is trying to save entire world.
7000 forbidden missiles rockets rusia dumped on civilians in Europe.
Physically help Ukraine today",UgxH_Fxeuk91TLPO9oh4AaABAg,0,0,"Poland, request gas from UAE and SA.
Good morning
Physically help UKRAINE!
Ukraine tries to save entire world.
Ukraine is asking for a fighter jets..  ok if without pilots. Ukraine is trying to save entire world.
7000 forbidden missiles rockets rusia dumped on civilians in Europe.
Physically help Ukraine today",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Blackmail? Of course he [Putin] does. What else would EU (or anyone else) expects, truthfully? That's what Putin does, that's all he's ALWAYS done.",UgxQy_LCWCP1XEStmx14AaABAg,4,4,"Blackmail? Of course he [Putin] does. What else would EU (or anyone else) expects, truthfully? That's what Putin does, that's all he's ALWAYS done.",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Let’s hope Russian missiles don’t hit the remaining gas lines to the west.
What a shame. No more cash flow.",Ugzfyjnnemf4RuFop7d4AaABAg,2,2,"Let’s hope Russian missiles don’t hit the remaining gas lines to the west.
What a shame. No more cash flow.",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,In a further escalation?  What are you talking about?  Poland and Bulgaria are 2 countries who have declared economic war on russia.  Russia has responded by insisting hostile states pay in rubels.  They refused and now they dont get oil or gas out charity.  That is not an escalation but a direct consequence.,UgwJat39IXCerXnpant4AaABAg,1,5,In a further escalation?  What are you talking about?  Poland and Bulgaria are 2 countries who have declared economic war on russia.  Russia has responded by insisting hostile states pay in rubels.  They refused and now they dont get oil or gas out charity.  That is not an escalation but a direct consequence.,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Could the British Kingdom possibly supply some oil and gas to Europe? It would require voluntary cut backs on fuel and gas use this spring and summer. A rallying point and a visible way to help. German tanks moving into Ukraine. I would prefer the whole war simply end now.,UgyL_L5Z2PXUtlBBdLt4AaABAg,1,1,Could the British Kingdom possibly supply some oil and gas to Europe? It would require voluntary cut backs on fuel and gas use this spring and summer. A rallying point and a visible way to help. German tanks moving into Ukraine. I would prefer the whole war simply end now.,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"The thing is, while the Ukrainian army will be re-supplied, the Russian army will never ran out of soldiers",UgxP5Ilvv6jak_0LRRZ4AaABAg,2,5,"The thing is, while the Ukrainian army will be re-supplied, the Russian army will never ran out of soldiers",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,France halted goods over 350 euros or something like that two months ago. It shows you the imbalance in this story is clearly in favor of Russia,Ugx-dzm0tfVLkFMdQM94AaABAg,0,0,France halted goods over 350 euros or something like that two months ago. It shows you the imbalance in this story is clearly in favor of Russia,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Perhaps Bulgaria can unilaterally declare a new price of natural gas in roubles.,Ugxx2Oc2NqUAAt3tSxx4AaABAg,0,0,Perhaps Bulgaria can unilaterally declare a new price of natural gas in roubles.,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"We have the expression in Greek ""you can't feed the dog and have the whole pie"" defines that can't do the impossible 
Russia wants to diverse the sanctions. The top gun for sanctions is the US dollar. So everyone wants oil or gas will exchance the dollars or the euros in a Russian bank to rubles and they will use them to pay. 
So Russia will take the euros and dollars and will avoid sanctions. If it works would be a huge victory for Russia. Would have the dog feed and the whole pie. Someone might ask why Iran didn't do it but Russia has something Europe needs the natural gas.",UgwlVOL9-85Y9B_Gim94AaABAg,1,8,"We have the expression in Greek ""you can't feed the dog and have the whole pie"" defines that can't do the impossible 
Russia wants to diverse the sanctions. The top gun for sanctions is the US dollar. So everyone wants oil or gas will exchance the dollars or the euros in a Russian bank to rubles and they will use them to pay. 
So Russia will take the euros and dollars and will avoid sanctions. If it works would be a huge victory for Russia. Would have the dog feed and the whole pie. Someone might ask why Iran didn't do it but Russia has something Europe needs the natural gas.",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,did the Polish prime minister give his interview in front of the Brandenburg gate in Berlin?,UgzEr_Fz_OPyhoVUgzp4AaABAg,0,0,did the Polish prime minister give his interview in front of the Brandenburg gate in Berlin?,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Poland wakes up now? This is a joke in the making.,UgxoK_jUS6d13LpLpAJ4AaABAg,0,5,Poland wakes up now? This is a joke in the making.,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Gas and Electric prices have up massively.,UgxGmLOoouNrKZgQYaR4AaABAg,1,1,Gas and Electric prices have up massively.,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Today I love Russia Russia is doing right thing,UgwNv0-QyKltw7ZfLxt4AaABAg,1,1,Today I love Russia Russia is doing right thing,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"By the way-this guy 2:25min studied history, but instead of being teacher in primary school he is Prime Minister of Poland. lol",UgzumX4G-mpgr6SMdOl4AaABAg,0,1,"By the way-this guy 2:25min studied history, but instead of being teacher in primary school he is Prime Minister of Poland. lol",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Turn it off please asap.. 👍
It smells of murder 🤮",UgxFwwJdFC0F9kxOb_B4AaABAg,2,5,"Turn it off please asap.. 
It smells of murder ",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"""we need global control of Russia's nuclear facilities"".... bruh, cool your jets there, little dwarf. This little guy got some balls on him.",Ugycvxl4E-wn0wV18Tl4AaABAg,1,1,"""we need global control of Russia's nuclear facilities"".... bruh, cool your jets there, little dwarf. This little guy got some balls on him.",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Who Know Brother England And  U.S.A Losed on this war on Russia Or no I think yes and you?,UgzG1V7felyiBpbbN454AaABAg,0,0,Who Know Brother England And  U.S.A Losed on this war on Russia Or no I think yes and you?,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Lecturing India for purchasing russia oil not its blackmail from Russia for stopping oil. Western hipocracy,Ugwdy6TXH45gkpKxsZF4AaABAg,0,0,Lecturing India for purchasing russia oil not its blackmail from Russia for stopping oil. Western hipocracy,en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"It's just a matter of few months European countries will have sufficient Gas (LNG) that will be supplied by Nigerian government. Nigeria is expecting European Union to come and help them to develop their gas facilities.
W.B.A",Ugxe76DMGbE4wAsYZKR4AaABAg,0,0,"It's just a matter of few months European countries will have sufficient Gas (LNG) that will be supplied by Nigerian government. Nigeria is expecting European Union to come and help them to develop their gas facilities.
W.B.A",en
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,God Bless Vladimir Putin and Russia,Ugx0JY5ATPexnIno5PN4AaABAg,0,1,God Bless Vladimir Putin and Russia,en
